DefendantID,BondPowerNumber,PrintDate,LastPaymentDate,TotalBilled,TotalReceived,AccountBalance,BondBalance,CustomersLastName,CustomersFirstName,CustomersSSN,CustomersAddress1,CustomersCity,CustomersState,CustomersZIP,CustomersDOB,CustomersPhone,CustomersEMail,CustomerCompleteAddress,CosignersLastName,CosignersFirstName,CosignersSSN,CosignersAddress1,CosignersCity,CosignersState,CosignersZIP,CosignersCompleteAddress,CosignersDOB,CosignersPhone,CosignersEmail,PlanAmount,Frequency,PaymentDueDate,NextPaymentDueAmount,LastPaymentAmount,BondDate,EmployerName,Occupation,EmployerAddress,EmployerCity,EmployerStateID,EmployerZip,EmployerPhone,LengthOfEmployment,OwnerName,InsurerName,Total_Premium,Total_AR,Relationship,BondAmount,FullName
2700001,FCS754-2867825,12/12/2023,01/20/2017,2000,457,1543,1543,White,Robert,204-96-9935,1524 3rd St,Columbus,OH,43085,11/07/1952,(230) 295-4582,robert.white1@mail.com,HOME 1524 3rd St Columbus OH 43085,,,,,,,,,,,,100,Weekly,2021-12-29,100,91,03/03/2023,Main St Manufacturing,Sales Associate,3711 Walnut St,Denver,CO,80014,(484) 206-3615,13 years,PRIMARY OWNER INC,United Surety,900,220,Co-signer,50000,Robert White
2700002,FCS194-7374122,02/24/2024,12/08/2018,3000,2472,528,528,Sanchez,William,144-68-9785,2145 Birch St,Chicago,IL,60601,07/12/1999,(500) 843-6925,william.sanchez2@emailtest.org,HOME 2145 Birch St Chicago IL 60601,Johnson,John,777-39-5741,1407 Lakeview Dr,Houston,TX,77001.0,HOME 1407 Lakeview Dr Houston TX 77001,02/06/1974,(484) 664-6977,john.johnson4@mail.com,350,Bi-Weekly,2022-01-20,350,343,11/16/2018,St. Francis Sr. Residence (NLE),Dietary Aide,2903 2nd St,Detroit,MI,48201,(450) 367-8573,12 years,PRIMARY OWNER INC,National Bonding,900,701,Co-signer,50000,William Sanchez
2700003,FCS334-1538552,10/05/2024,11/19/2019,2500,271,2229,2229,Robinson,Michael,680-50-4483,8279 Birch St,Boston,MA,2101,03/02/1991,(346) 471-3287,michael.robinson3@mail.com,HOME 8279 Birch St Boston MA 02101,,,,,,,,,,,,300,Weekly,2024-02-27,300,219,06/05/2022,Global Services LLC,Customer Service,3693 Cedar Ln,Indianapolis,IN,46201,(705) 293-1771,3 years,OWNER NAME LLC,ABC Insurance Co.,1500,1221,Parent,100000,Michael Robinson
2700004,FCS490-8852574,05/11/2025,07/10/2016,9000,188,8812,8812,White,Nancy,217-97-9797,4471 Ridgeway Dr,Houston,TX,77001,05/01/1976,(645) 361-8433,nancy.white4@example.com,HOME 4471 Ridgeway Dr Houston TX 77001,,,,,,,,,,,,300,Weekly,2025-02-24,300,91,07/29/2021,St. Francis Sr. Residence (NLE),Accountant,8417 4th St,San Antonio,TX,78201,(356) 582-3646,17 years,UNITED LEGAL GROUP 3RD PARTY COLL,National Bonding,1200,1000,Spouse,50000,Nancy White
2700005,FCS471-6159230,07/19/2024,03/08/2012,2000,1798,202,202,Williams,Charles,187-72-2133,8827 Cedar Ln,Phoenix,AZ,85001,08/22/1992,(762) 369-5342,charles.williams5@emailtest.org,HOME 8827 Cedar Ln Phoenix AZ 85001,,,,,,,,,,,,400,Monthly,2023-11-26,400,386,01/25/2024,United Legal Group,Accountant,6637 Forest Ave,Charlotte,NC,28201,(729) 662-2982,7 years,OWNER NAME LLC,"Financial Casualty & Surety, Inc.",1200,43,Sister,150000,Charles Williams
2700006,FCS335-4694634,11/24/2023,06/23/2012,1000,234,766,766,Lewis,John,132-52-2160,8523 Lakeview Dr,Dallas,TX,75201,07/20/1993,(419) 752-3167,john.lewis6@emailtest.org,HOME 8523 Lakeview Dr Dallas TX 75201,,,,,,,,,,,,250,Bi-Weekly,2025-05-28,250,104,01/06/2018,St. Francis Sr. Residence (NLE),Teacher,7162 Forest Ave,Columbus,OH,43085,(620) 678-1887,20 years,UNITED LEGAL GROUP 3RD PARTY COLL,"Financial Casualty & Surety, Inc.",1500,1491,Co-signer,50000,John Lewis
2700007,FCS354-4214348,05/29/2024,11/30/2022,6000,1148,4852,4852,Garcia,Susan,385-69-5092,1335 Walnut St,Seattle,WA,98101,10/14/1958,(251) 867-9856,susan.garcia7@example.com,HOME 1335 Walnut St Seattle WA 98101,,,,,,,,,,,,250,Monthly,2023-02-27,250,124,04/12/2021,United Legal Group,Mechanic,1060 Elm St,Fort Worth,TX,76101,(202) 599-5345,14 years,PRIMARY OWNER INC,Liberty Bonds Co.,1800,1355,Mother,75000,Susan Garcia
2700008,FCS294-5977931,06/26/2024,03/13/2012,12000,8883,3117,3117,White,Mary,421-17-1821,9671 Cherry Ln,Indianapolis,IN,46201,08/25/1997,(361) 258-9320,mary.white8@example.com,HOME 9671 Cherry Ln Indianapolis IN 46201,,,,,,,,,,,,150,Weekly,2021-04-05,150,60,05/29/2020,St. Francis Sr. Residence (NLE),Waiter,4133 3rd St,Washington,DC,20001,(240) 834-2343,13 years,PRIMARY OWNER INC,United Surety,900,685,Co-signer,75000,Mary White
2700009,FCS371-7640184,03/30/2024,05/12/2025,2500,1872,628,628,Robinson,David,869-19-1152,7608 4th St,Denver,CO,80014,12/21/1958,(275) 750-4492,david.robinson9@emailtest.org,HOME 7608 4th St Denver CO 80014,Lopez,Sandra,170-41-7054,4769 Elm St,Charlotte,NC,28201.0,HOME 4769 Elm St Charlotte NC 28201,09/25/1988,(920) 509-9666,sandra.lopez18@example.com,300,Weekly,2021-06-17,300,68,11/06/2018,St. Francis Sr. Residence (NLE),Teacher,9164 Cedar Ln,Dallas,TX,75201,(488) 819-4450,10 years,OWNER NAME LLC,United Surety,1800,1000,Employer,50000,David Robinson
2700010,FCS194-8106422,08/26/2024,11/16/2011,1000,341,659,659,Jones,Matthew,752-43-3647,7339 2nd St,Nashville,TN,37201,05/15/1988,(774) 209-2832,matthew.jones10@example.com,HOME 7339 2nd St Nashville TN 37201,,,,,,,,,,,,200,Weekly,2021-01-29,200,94,05/31/2022,Main St Manufacturing,Driver,7141 Cedar Ln,Los Angeles,CA,90001,(515) 573-1653,11 years,OWNER NAME LLC,ABC Insurance Co.,500,181,Father,100000,Matthew Jones
