DefendantID,CustomersFirstName,CustomersLastName,CustomersAddress1,CustomersCity,CustomersState,CustomersZIP,TotalBilled,TotalReceived,AccountBalance
2700004,Nancy,White,4471 Ridgeway Dr,Houston,TX,77001,9000,188,8812
2700006,John,Lewis,8523 Lakeview Dr,Dallas,TX,75201,1000,234,766
2700012,William,Johnson,8618 2nd St,El Paso,TX,79901,12000,3114,8886
2700016,Margaret,Anderson,6311 Ridgeway Dr,San Antonio,TX,78201,4500,1111,3389
2700035,Elizabeth,Martin,9568 Court St,San Antonio,TX,78201,1000,991,9
2700036,Richard,Williams,1603 Court St,San Antonio,TX,78201,12000,10769,1231
2700038,David,Garcia,1543 Spruce St,Houston,TX,77001,4500,170,4330
2700046,David,Garcia,6118 Court St,Dallas,TX,75201,6000,3167,2833
2700048,Richard,Robinson,4364 Walnut St,San Antonio,TX,78201,6000,4241,1759
2700067,John,Lopez,3800 Hillcrest Rd,El Paso,TX,79901,2500,1625,875
2700071,Jennifer,Gonzalez,9535 Lakeview Dr,Austin,TX,73301,6000,2573,3427
2700074,Jennifer,Lee,578 4th St,San Antonio,TX,78201,4500,1511,2989
2700075,Margaret,Anderson,9769 Pine Ave,El Paso,TX,79901,3000,1441,1559
2700087,Anthony,Ramirez,4166 Forest Ave,Fort Worth,TX,76101,1000,220,780
2700088,James,Williams,2210 Pine Ave,Austin,TX,73301,2500,307,2193
2700094,William,Perez,1671 Oak St,Fort Worth,TX,76101,9000,8849,151
2700097,Linda,Johnson,6202 Main St,Austin,TX,73301,3000,2828,172
2700098,Robert,Harris,2946 Washington St,San Antonio,TX,78201,9000,6609,2391
2700099,Richard,Johnson,3726 Lakeview Dr,El Paso,TX,79901,2500,112,2388
2700100,David,Rodriguez,4378 Hillcrest Rd,San Antonio,TX,78201,6000,522,5478
2700110,Michael,Brown,3222 Ridgeway Dr,Houston,TX,77001,12000,3209,8791
2700115,Betty,Taylor,4956 Washington St,Austin,TX,73301,3000,2106,894
2700119,Anthony,Jackson,700 2nd St,Dallas,TX,75201,9000,511,8489
2700123,Karen,Jackson,6415 Cedar Ln,Houston,TX,77001,3000,1857,1143
2700124,Betty,White,7071 Cedar Ln,Dallas,TX,75201,3000,2412,588
2700126,John,Rodriguez,718 Birch St,Fort Worth,TX,76101,4500,722,3778
2700145,Sarah,Thomas,6270 3rd St,El Paso,TX,79901,9000,4237,4763
2700154,Sarah,Sanchez,3396 Hillcrest Rd,Dallas,TX,75201,3000,1432,1568
2700158,Susan,Gonzalez,5926 Hillcrest Rd,Austin,TX,73301,1000,88,912
2700161,Sarah,Martinez,3305 Washington St,El Paso,TX,79901,1800,927,873
2700162,Richard,Wilson,7880 Cedar Ln,San Antonio,TX,78201,4500,3326,1174
2700165,Robert,Martin,6377 Lakeview Dr,El Paso,TX,79901,3000,345,2655
2700167,Karen,Lee,2228 Birch St,El Paso,TX,79901,2000,1946,54
2700173,Matthew,Brown,3984 Spruce St,San Antonio,TX,78201,3000,942,2058
2700176,Thomas,Johnson,8987 3rd St,San Antonio,TX,78201,4500,2727,1773
2700188,Jessica,Brown,9936 Hillcrest Rd,El Paso,TX,79901,1500,671,829
2700190,Patricia,Harris,8164 Walnut St,San Antonio,TX,78201,12000,10211,1789
2700191,Mary,Gonzalez,5879 Hillcrest Rd,Austin,TX,73301,1800,1037,763
2700193,Charles,Hernandez,7886 Spruce St,San Antonio,TX,78201,12000,1552,10448
2700199,Daniel,Ramirez,7127 4th St,Dallas,TX,75201,2000,536,1464
2700201,Robert,Williams,2423 Sunset Blvd,Houston,TX,77001,3000,1917,1083
2700203,Elizabeth,Perez,6220 3rd St,Houston,TX,77001,3000,106,2894
2700205,Jennifer,Wilson,762 Court St,Austin,TX,73301,3000,2514,486
2700210,Michael,Moore,4373 Forest Ave,El Paso,TX,79901,2500,961,1539
2700212,James,Thompson,5642 Ridgeway Dr,Fort Worth,TX,76101,1800,1577,223
2700224,William,Robinson,5281 Main St,Fort Worth,TX,76101,2000,96,1904
2700229,Betty,Martin,2466 Cedar Ln,San Antonio,TX,78201,1800,1079,721
2700235,Thomas,Smith,6507 Elm St,Houston,TX,77001,1000,377,623
2700239,Christopher,Miller,6572 Spruce St,Houston,TX,77001,3000,2302,698
2700247,Anthony,Hernandez,849 Ridgeway Dr,El Paso,TX,79901,1000,653,347
2700248,Nancy,Moore,2892 Pine Ave,Houston,TX,77001,1500,987,513
2700249,Betty,Davis,4867 Pine Ave,Houston,TX,77001,9000,7159,1841
2700259,Linda,White,7450 Elm St,El Paso,TX,79901,9000,5653,3347
2700266,Matthew,Taylor,6667 4th St,Dallas,TX,75201,1800,896,904
2700268,Jennifer,Lee,2769 Elm St,Fort Worth,TX,76101,6000,5975,25
2700271,Robert,Williams,6408 Forest Ave,Austin,TX,73301,4500,2281,2219
2700275,John,Miller,3175 2nd St,San Antonio,TX,78201,9000,1744,7256
2700277,Margaret,Martinez,1641 Walnut St,Austin,TX,73301,1800,1569,231
2700278,Barbara,Williams,7474 Sunset Blvd,El Paso,TX,79901,9000,5138,3862
2700280,Anthony,Johnson,4964 Elm St,San Antonio,TX,78201,2500,753,1747
2700282,Joseph,Wilson,8992 Spruce St,Fort Worth,TX,76101,1500,360,1140
2700287,Richard,Robinson,3342 Sunset Blvd,Fort Worth,TX,76101,4500,4199,301
2700288,Anthony,Lewis,6625 Main St,Houston,TX,77001,2500,2473,27
2700296,Joseph,Thomas,4316 Cherry Ln,Dallas,TX,75201,2500,1374,1126
2700297,Mark,Robinson,4446 Forest Ave,Austin,TX,73301,2500,2231,269
