DefendantID,BondPowerNumber,PrintDate,LastPaymentDate,TotalBilled,TotalReceived,AccountBalance,BondBalance,CustomersLastName,CustomersFirstName,CustomersSSN,CustomersAddress1,CustomersCity,CustomersState,CustomersZIP,CustomersDOB,CustomersPhone,CustomersEMail,CustomerCompleteAddress,CosignersLastName,CosignersFirstName,CosignersSSN,CosignersAddress1,CosignersCity,CosignersState,CosignersZIP,CosignersCompleteAddress,CosignersDOB,CosignersPhone,CosignersEmail,PlanAmount,Frequency,PaymentDueDate,NextPaymentDueAmount,LastPaymentAmount,BondDate,EmployerName,Occupation,EmployerAddress,EmployerCity,EmployerStateID,EmployerZip,EmployerPhone,LengthOfEmployment,OwnerName,InsurerName,Total_Premium,Total_AR,Relationship,BondAmount
2700001,FCS754-2867825,12/12/2023,01/20/2017,2000,457,1543,1543,White,Robert,204-96-9935,1524 3rd St,Columbus,OH,43085,11/07/1952,(230) 295-4582,robert.white1@mail.com,HOME 1524 3rd St Columbus OH 43085,,,,,,,,,,,,100,Weekly,12/29/2021,100,91,03/03/2023,Main St Manufacturing,Sales Associate,3711 Walnut St,Denver,CO,80014,(484) 206-3615,13 years,PRIMARY OWNER INC,United Surety,900,220,Co-signer,50000
2700002,FCS194-7374122,02/24/2024,12/08/2018,3000,2472,528,528,Sanchez,William,144-68-9785,2145 Birch St,Chicago,IL,60601,07/12/1999,(500) 843-6925,william.sanchez2@emailtest.org,HOME 2145 Birch St Chicago IL 60601,Johnson,John,777-39-5741,1407 Lakeview Dr,Houston,TX,77001.0,HOME 1407 Lakeview Dr Houston TX 77001,02/06/1974,(484) 664-6977,john.johnson4@mail.com,350,Bi-Weekly,01/20/2022,350,343,11/16/2018,St. Francis Sr. Residence (NLE),Dietary Aide,2903 2nd St,Detroit,MI,48201,(450) 367-8573,12 years,PRIMARY OWNER INC,National Bonding,900,701,Co-signer,50000
2700003,FCS334-1538552,10/05/2024,11/19/2019,2500,271,2229,2229,Robinson,Michael,680-50-4483,8279 Birch St,Boston,MA,2101,03/02/1991,(346) 471-3287,michael.robinson3@mail.com,HOME 8279 Birch St Boston MA 02101,,,,,,,,,,,,300,Weekly,02/27/2024,300,219,06/05/2022,Global Services LLC,Customer Service,3693 Cedar Ln,Indianapolis,IN,46201,(705) 293-1771,3 years,OWNER NAME LLC,ABC Insurance Co.,1500,1221,Parent,100000
2700004,FCS490-8852574,05/11/2025,07/10/2016,9000,188,8812,8812,White,Nancy,217-97-9797,4471 Ridgeway Dr,Houston,TX,77001,05/01/1976,(645) 361-8433,nancy.white4@example.com,HOME 4471 Ridgeway Dr Houston TX 77001,,,,,,,,,,,,300,Weekly,02/24/2025,300,91,07/29/2021,St. Francis Sr. Residence (NLE),Accountant,8417 4th St,San Antonio,TX,78201,(356) 582-3646,17 years,UNITED LEGAL GROUP 3RD PARTY COLL,National Bonding,1200,1000,Spouse,50000
2700006,FCS335-4694634,11/24/2023,06/23/2012,1000,234,766,766,Lewis,John,132-52-2160,8523 Lakeview Dr,Dallas,TX,75201,07/20/1993,(419) 752-3167,john.lewis6@emailtest.org,HOME 8523 Lakeview Dr Dallas TX 75201,,,,,,,,,,,,250,Bi-Weekly,05/28/2025,250,104,01/06/2018,St. Francis Sr. Residence (NLE),Teacher,7162 Forest Ave,Columbus,OH,43085,(620) 678-1887,20 years,UNITED LEGAL GROUP 3RD PARTY COLL,"Financial Casualty & Surety, Inc.",1500,1491,Co-signer,50000
2700007,FCS354-4214348,05/29/2024,11/30/2022,6000,1148,4852,4852,Garcia,Susan,385-69-5092,1335 Walnut St,Seattle,WA,98101,10/14/1958,(251) 867-9856,susan.garcia7@example.com,HOME 1335 Walnut St Seattle WA 98101,,,,,,,,,,,,250,Monthly,02/27/2023,250,124,04/12/2021,United Legal Group,Mechanic,1060 Elm St,Fort Worth,TX,76101,(202) 599-5345,14 years,PRIMARY OWNER INC,Liberty Bonds Co.,1800,1355,Mother,75000
2700008,FCS294-5977931,06/26/2024,03/13/2012,12000,8883,3117,3117,White,Mary,421-17-1821,9671 Cherry Ln,Indianapolis,IN,46201,08/25/1997,(361) 258-9320,mary.white8@example.com,HOME 9671 Cherry Ln Indianapolis IN 46201,,,,,,,,,,,,150,Weekly,04/05/2021,150,60,05/29/2020,St. Francis Sr. Residence (NLE),Waiter,4133 3rd St,Washington,DC,20001,(240) 834-2343,13 years,PRIMARY OWNER INC,United Surety,900,685,Co-signer,75000
2700009,FCS371-7640184,03/30/2024,05/12/2025,2500,1872,628,628,Robinson,David,869-19-1152,7608 4th St,Denver,CO,80014,12/21/1958,(275) 750-4492,david.robinson9@emailtest.org,HOME 7608 4th St Denver CO 80014,Lopez,Sandra,170-41-7054,4769 Elm St,Charlotte,NC,28201.0,HOME 4769 Elm St Charlotte NC 28201,09/25/1988,(920) 509-9666,sandra.lopez18@example.com,300,Weekly,06/17/2021,300,68,11/06/2018,St. Francis Sr. Residence (NLE),Teacher,9164 Cedar Ln,Dallas,TX,75201,(488) 819-4450,10 years,OWNER NAME LLC,United Surety,1800,1000,Employer,50000
2700010,FCS194-8106422,08/26/2024,11/16/2011,1000,341,659,659,Jones,Matthew,752-43-3647,7339 2nd St,Nashville,TN,37201,05/15/1988,(774) 209-2832,matthew.jones10@example.com,HOME 7339 2nd St Nashville TN 37201,,,,,,,,,,,,200,Weekly,01/29/2021,200,94,05/31/2022,Main St Manufacturing,Driver,7141 Cedar Ln,Los Angeles,CA,90001,(515) 573-1653,11 years,OWNER NAME LLC,ABC Insurance Co.,500,181,Father,100000
2700011,FCS735-3592974,07/16/2024,07/13/2014,1800,844,956,956,Garcia,James,854-52-7745,4165 Sunset Blvd,Philadelphia,PA,19101,09/13/1959,(591) 239-8711,james.garcia11@mail.com,HOME 4165 Sunset Blvd Philadelphia PA 19101,Anderson,Sandra,458-49-4728,3752 Main St,El Paso,TX,79901.0,HOME 3752 Main St El Paso TX 79901,04/29/1957,(608) 536-5564,sandra.anderson22@example.com,300,Bi-Weekly,06/22/2024,300,260,05/13/2020,Main St Manufacturing,Receptionist,552 Maple Ave,Dallas,TX,75201,(382) 794-5349,1 years,UNITED LEGAL GROUP 3RD PARTY COLL,National Bonding,1500,707,Co-signer,100000
2700012,FCS720-9580255,03/14/2024,07/11/2019,12000,3114,8886,8886,Johnson,William,825-65-1027,8618 2nd St,El Paso,TX,79901,09/05/1967,(572) 641-2146,william.johnson12@testmail.com,HOME 8618 2nd St El Paso TX 79901,,,,,,,,,,,,150,Weekly,07/25/2022,150,129,05/08/2019,Global Services LLC,Receptionist,6692 Hillcrest Rd,Seattle,WA,98101,(330) 396-7888,12 years,OWNER NAME LLC,National Bonding,1800,616,Sibling,150000
2700013,FCS953-1006810,09/23/2024,04/27/2017,2000,880,1120,1120,Jackson,Betty,721-93-6279,7718 Walnut St,Charlotte,NC,28201,03/04/1969,(723) 684-3780,betty.jackson13@example.com,HOME 7718 Walnut St Charlotte NC 28201,Lee,Nancy,734-52-2530,3948 Hillcrest Rd,San Diego,CA,92101.0,HOME 3948 Hillcrest Rd San Diego CA 92101,11/12/1957,(350) 225-1757,nancy.lee26@mail.com,500,Weekly,08/23/2025,500,393,09/12/2016,Global Services LLC,Sales Associate,9531 Washington St,Nashville,TN,37201,(913) 593-9099,12 years,OWNER NAME LLC,ABC Insurance Co.,500,457,Parent,100000
2700014,FCS324-3950888,10/29/2025,07/03/2022,6000,411,5589,5589,Davis,Sarah,224-68-3184,7712 Court St,Seattle,WA,98101,06/20/1978,(973) 653-9270,sarah.davis14@dummyemail.com,HOME 7712 Court St Seattle WA 98101,,,,,,,,,,,,500,Monthly,01/18/2025,500,441,03/16/2021,Global Services LLC,Software Engineer,4150 Sunset Blvd,Oklahoma City,OK,73101,(996) 733-8939,20 years,OWNER NAME LLC,United Surety,1500,158,Employer,75000
2700015,FCS378-6634586,10/09/2024,12/31/2022,1500,283,1217,1217,Davis,Robert,492-98-3503,3605 Pine Ave,Columbus,OH,43085,07/27/1986,(538) 755-8633,robert.davis15@dummyemail.com,HOME 3605 Pine Ave Columbus OH 43085,Wilson,Anthony,498-84-1320,9532 Birch St,San Francisco,CA,94101.0,HOME 9532 Birch St San Francisco CA 94101,07/12/1940,(560) 505-7389,anthony.wilson30@dummyemail.com,250,Bi-Weekly,02/09/2022,250,69,10/08/2020,Global Services LLC,Retail Clerk,6471 Ridgeway Dr,El Paso,TX,79901,(895) 614-3704,14 years,OWNER NAME LLC,National Bonding,1800,55,Sibling,150000
2700016,FCS677-1454696,02/10/2024,04/20/2025,4500,1111,3389,3389,Anderson,Margaret,286-16-5262,6311 Ridgeway Dr,San Antonio,TX,78201,10/17/1990,(534) 545-7211,margaret.anderson16@testmail.com,HOME 6311 Ridgeway Dr San Antonio TX 78201,,,,,,,,,,,,400,Bi-Weekly,07/23/2025,400,41,02/26/2021,St. Francis Sr. Residence (NLE),Plumber,953 Forest Ave,San Diego,CA,92101,(865) 270-1659,0 years,OWNER NAME LLC,ABC Insurance Co.,500,318,Sibling,75000
2700017,FCS229-8945036,10/02/2025,06/14/2013,12000,3571,8429,8429,Thompson,Joseph,362-57-3749,1976 Elm St,San Jose,CA,95101,09/13/1959,(792) 226-6111,joseph.thompson17@emailtest.org,HOME 1976 Elm St San Jose CA 95101,,,,,,,,,,,,400,Bi-Weekly,11/20/2024,400,101,09/25/2016,Main St Manufacturing,Construction Worker,1769 Hillcrest Rd,El Paso,TX,79901,(814) 323-1672,11 years,UNITED LEGAL GROUP,United Surety,500,259,Co-signer,50000
