DefendantID,CustomersFirstName,CustomersLastName,CustomersState,AccountBalance,TotalBilled,TotalReceived
2703216,Betty,Hernandez,TX,12000.0,12000,0
2703540,Anthony,Rodriguez,TX,11941.0,12000,59
2708136,Christopher,Perez,TX,11932.0,12000,68
2707497,David,Wilson,TX,11881.0,12000,119
2701126,David,Martinez,TX,11799.0,12000,201
2703714,Richard,Lopez,TX,11723.0,12000,277
2707443,John,Perez,TX,11713.0,12000,287
2703057,Robert,Williams,TX,11710.0,12000,290
2705339,Jessica,Jones,TX,11516.0,12000,484
2709322,Daniel,Martin,TX,11405.0,12000,595
2708625,Linda,Anderson,TX,11395.0,12000,605
2707423,Elizabeth,Miller,TX,11388.0,12000,612
2708061,Jennifer,Davis,TX,11383.0,12000,617
2703086,Sarah,Williams,TX,11184.0,12000,816
2705541,Linda,Smith,TX,11162.0,12000,838
2708859,Sandra,Garcia,TX,11126.0,12000,874
2700853,Joseph,Sanchez,TX,11113.0,12000,887
2709618,Thomas,Martin,TX,11076.0,12000,924
2709906,Mary,Rodriguez,TX,11046.0,12000,954
2707018,Thomas,Ramirez,TX,10958.0,12000,1042
2701733,Michael,Robinson,TX,10925.0,12000,1075
2705427,Jessica,Moore,TX,10915.0,12000,1085
2700496,Susan,Smith,TX,10884.0,12000,1116
2701900,Anthony,Brown,TX,10841.0,12000,1159
2700473,Sandra,Clark,TX,10780.0,12000,1220
2702578,Karen,Martinez,TX,10704.0,12000,1296
2701784,Christopher,Brown,TX,10679.0,12000,1321
2705802,Mark,Rodriguez,TX,10632.0,12000,1368
2709172,Charles,Martinez,TX,10631.0,12000,1369
2708854,Robert,White,TX,10533.0,12000,1467
2700193,Charles,Hernandez,TX,10448.0,12000,1552
2709420,Jennifer,Sanchez,TX,10421.0,12000,1579
2702388,Betty,Brown,TX,10350.0,12000,1650
2700683,Michael,Davis,TX,10345.0,12000,1655
2700518,Mark,Davis,TX,10334.0,12000,1666
2702718,Lisa,Thompson,TX,10250.0,12000,1750
2702048,Susan,Hernandez,TX,10196.0,12000,1804
2705681,Susan,Rodriguez,TX,10186.0,12000,1814
2709840,John,Davis,TX,10122.0,12000,1878
2704239,Jennifer,Hernandez,TX,10068.0,12000,1932
2704074,Margaret,Jones,TX,10046.0,12000,1954
2703108,Thomas,Harris,TX,10017.0,12000,1983
2700439,Daniel,Wilson,TX,9958.0,12000,2042
2703469,Robert,Wilson,TX,9862.0,12000,2138
2700299,Nancy,Harris,TX,9720.0,12000,2280
2701843,Joseph,Jackson,TX,9669.0,12000,2331
2700829,Mark,Martinez,TX,9657.0,12000,2343
2709290,Elizabeth,Hernandez,TX,9656.0,12000,2344
2704727,Mark,Brown,TX,9620.0,12000,2380
2705636,Lisa,Sanchez,TX,9538.0,12000,2462
2703698,Joseph,Williams,TX,9422.0,12000,2578
2705995,Michael,Harris,TX,9340.0,12000,2660
2702592,Patricia,Williams,TX,9197.0,12000,2803
2704849,Anthony,Anderson,TX,9197.0,12000,2803
2705452,Michael,Moore,TX,9178.0,12000,2822
2702734,Christopher,Robinson,TX,9176.0,12000,2824
2703378,Barbara,Williams,TX,9153.0,12000,2847
