DefendantID,CustomersSSN,PaymentDueDate,LastPaymentDate,PrintDate
2700001,204-96-9935,12/29/2021,01/20/2017,12/12/2023
2700002,144-68-9785,01/20/2022,12/08/2018,02/24/2024
2700003,680-50-4483,02/27/2024,11/19/2019,10/05/2024
2700004,217-97-9797,02/24/2025,07/10/2016,05/11/2025
2700005,187-72-2133,11/26/2023,03/08/2012,07/19/2024
2700006,132-52-2160,05/28/2025,06/23/2012,11/24/2023
2700007,385-69-5092,02/27/2023,11/30/2022,05/29/2024
2700008,421-17-1821,04/05/2021,03/13/2012,06/26/2024
2700009,869-19-1152,06/17/2021,05/12/2025,03/30/2024
2700010,752-43-3647,01/29/2021,11/16/2011,08/26/2024
