DefendantID,CustomersFirstName,CustomersLastName,CustomersState,AccountBalance
2700004,Nancy,White,TX,8812
2700006,John,Lewis,TX,766
2700012,William,Johnson,TX,8886
2700016,Margaret,Anderson,TX,3389
2700035,Elizabeth,Martin,TX,9
2700036,Richard,Williams,TX,1231
2700038,David,Garcia,TX,4330
2700046,David,Garcia,TX,2833
2700048,Richard,Robinson,TX,1759
2700067,John,Lopez,TX,875
2700071,Jennifer,Gonzalez,TX,3427
2700074,Jennifer,Lee,TX,2989
2700075,Margaret,Anderson,TX,1559
2700087,Anthony,Ramirez,TX,780
2700088,James,Williams,TX,2193
2700094,William,Perez,TX,151
2700097,Linda,Johnson,TX,172
2700098,Robert,Harris,TX,2391
2700099,Richard,Johnson,TX,2388
2700100,David,Rodriguez,TX,5478
2700110,Michael,Brown,TX,8791
2700115,Betty,Taylor,TX,894
2700119,Anthony,Jackson,TX,8489
2700123,Karen,Jackson,TX,1143
2700124,Betty,White,TX,588
2700126,John,Rodriguez,TX,3778
2700145,Sarah,Thomas,TX,4763
2700154,Sarah,Sanchez,TX,1568
2700158,Susan,Gonzalez,TX,912
2700161,Sarah,Martinez,TX,873
2700162,Richard,Wilson,TX,1174
2700165,Robert,Martin,TX,2655
2700167,Karen,Lee,TX,54
2700173,Matthew,Brown,TX,2058
2700176,Thomas,Johnson,TX,1773
2700188,Jessica,Brown,TX,829
2700190,Patricia,Harris,TX,1789
2700191,Mary,Gonzalez,TX,763
2700193,Charles,Hernandez,TX,10448
2700199,Daniel,Ramirez,TX,1464
2700201,Robert,Williams,TX,1083
2700203,Elizabeth,Perez,TX,2894
2700205,Jennifer,Wilson,TX,486
2700210,Michael,Moore,TX,1539
2700212,James,Thompson,TX,223
2700224,William,Robinson,TX,1904
2700229,Betty,Martin,TX,721
2700235,Thomas,Smith,TX,623
2700239,Christopher,Miller,TX,698
2700247,Anthony,Hernandez,TX,347
2700248,Nancy,Moore,TX,513
2700249,Betty,Davis,TX,1841
2700259,Linda,White,TX,3347
2700266,Matthew,Taylor,TX,904
2700268,Jennifer,Lee,TX,25
2700271,Robert,Williams,TX,2219
2700275,John,Miller,TX,7256
2700277,Margaret,Martinez,TX,231
2700278,Barbara,Williams,TX,3862
2700280,Anthony,Johnson,TX,1747
2700282,Joseph,Wilson,TX,1140
2700287,Richard,Robinson,TX,301
2700288,Anthony,Lewis,TX,27
2700296,Joseph,Thomas,TX,1126
2700297,Mark,Robinson,TX,269
2700299,Nancy,Harris,TX,9720
2700305,Margaret,White,TX,1424
2700306,Jennifer,Perez,TX,803
2700311,Michael,Gonzalez,TX,771
2700319,Matthew,Brown,TX,18
2700320,Lisa,Perez,TX,1230
2700324,David,Robinson,TX,57
2700332,Sandra,Smith,TX,441
2700333,Joseph,Lee,TX,1386
2700341,Thomas,Lopez,TX,4623
2700343,Richard,Smith,TX,770
2700349,Robert,Robinson,TX,1717
2700357,Joseph,Davis,TX,1143
2700359,Joseph,Lee,TX,820
2700360,Jennifer,Taylor,TX,1310
2700362,Mary,Moore,TX,966
2700378,Betty,Harris,TX,462
2700379,Michael,Thomas,TX,38
2700383,John,Smith,TX,3062
2700385,Susan,Garcia,TX,261
2700394,Elizabeth,Lee,TX,5894
2700397,Karen,Anderson,TX,3215
2700399,Matthew,Davis,TX,776
2700401,Sarah,Martin,TX,2067
2700411,James,Martinez,TX,3308
2700413,Jessica,Hernandez,TX,84
2700418,David,Lopez,TX,1554
2700425,Mary,Martinez,TX,1915
2700430,Mary,Clark,TX,1400
2700431,James,Lee,TX,211
2700432,Elizabeth,Lewis,TX,3832
2700433,Jessica,Smith,TX,62
2700435,Lisa,Thompson,TX,1197
2700438,John,Hernandez,TX,4944
2700439,Daniel,Wilson,TX,9958
2700440,Nancy,Miller,TX,684
2700445,William,Miller,TX,317
2700453,Nancy,Garcia,TX,774
2700455,Sandra,Harris,TX,1329
2700459,Linda,Lee,TX,783
2700473,Sandra,Clark,TX,10780
2700485,Elizabeth,Smith,TX,1316
2700491,Lisa,Martinez,TX,2882
2700496,Susan,Smith,TX,10884
2700498,Sarah,Wilson,TX,2329
2700499,Nancy,White,TX,635
2700506,John,Thomas,TX,181
2700508,John,Thompson,TX,984
2700509,Sandra,Garcia,TX,2689
2700512,Joseph,Martinez,TX,2014
2700514,John,Brown,TX,8034
2700518,Mark,Davis,TX,10334
2700519,James,Garcia,TX,2757
2700520,Matthew,Clark,TX,636
2700538,Richard,Garcia,TX,4032
2700539,David,White,TX,3982
2700540,Elizabeth,Williams,TX,1194
2700547,Michael,Clark,TX,1749
2700553,Richard,Ramirez,TX,1416
2700557,Mary,Gonzalez,TX,198
2700561,Barbara,Lewis,TX,5334
2700564,Christopher,Hernandez,TX,1749
2700565,Elizabeth,Perez,TX,1024
2700569,Elizabeth,Martin,TX,629
2700579,Robert,Thomas,TX,730
2700581,William,Brown,TX,151
2700582,Daniel,Thomas,TX,276
2700590,Richard,Davis,TX,497
2700594,Christopher,Hernandez,TX,190
